property,propertyLabel,propertyDescription,domains,ranges
http://www.wikidata.org/entity/P3026,closed on,"exceptions to open days (P3025), usually special dates",,"day of the week, public holiday, holiday, point in time with respect to recurrent timeframe, range of days of the week"
http://www.wikidata.org/entity/P2433,gender of a scientific name of a genus,"determines the correct form of some names of species and subdivisions of species, also subdivisions of a genus",,grammatical gender
http://www.wikidata.org/entity/P97,noble title,titles held by the person,"legendary figure, fictional character, position, hereditary position, character that may or may not be fictional, family, human","noble title, title of honor, fictional office, position, or title"
http://www.wikidata.org/entity/P505,general manager,general manager of a sports team. If they are also an on-field manager use P286 instead,sports team,person
http://www.wikidata.org/entity/P840,narrative location,the narrative of the work is set in this location,"group of works, level, scene, genre, work","astronomical object, outer space, geographic region, geographical feature, mythical location, event, campaign setting, territory, fictional location, facility, fictional spacecraft, physical location, fictional vessel, extremity, fictional group of locations, fictional dimension, fictional locality, fictional multiverse, fictional parallel universe, shell of an astronomical object"
http://www.wikidata.org/entity/P1637,undercarriage,type of aircraft landing gear the item is equipped with,aircraft,undercarriage
http://www.wikidata.org/entity/P538,mineral fracture,fracture types in a mineral,mineral species,fracture
http://www.wikidata.org/entity/P812,academic major,major someone studied at college/university,"fictional human, human","science, education, musical instrument, literary genre, interdisciplinary science, specialty, computer language, branch of science, field of study, art genre, languoid, academic discipline, Muhaddith, art practice, type of arts"
http://www.wikidata.org/entity/P2568,repealed by,document is repealed/inactived by specified other document,"erratum, amendment, rule, legal act, Request for Comments, addendum","Request for Comments, addendum, legal act, amendment, erratum"
http://www.wikidata.org/entity/P1035,honorific suffix,"word or expression with connotations conveying esteem or respect when used, after a name, in addressing or referring to a person","fictional character, human","award, name suffix, honorific suffix"
http://www.wikidata.org/entity/P2512,has spin-off,works that are spin-offs of this item,creative work,work
http://www.wikidata.org/entity/P5278,surname for other gender,gender inflection of surname,"matronymic, family name, patronymic","family name, patronymic, matronymic"
http://www.wikidata.org/entity/P5800,narrative role,narrative role of this character (should be used as a qualifier with P674 or restricted to a certain work using P10663),"fictional entity, mythical entity, work","archetype, role, literary element, narrative technique, narrator"
http://www.wikidata.org/entity/P816,decays to,what isotope does this radioactive isotope decay to,"composite particle, type of quantum particle, elementary particle, isotope, chemical element","chemical element, elementary particle, isotope, composite particle, type of quantum particle"
http://www.wikidata.org/entity/P10606,notable role,"role in a theatrical, motion picture, television, or other work that a performer is particularly known for","animal actor, human","fictional character, historical character"
http://www.wikidata.org/entity/P2522,victory,competition or event won by the subject,"individual animal, song contest entry, sports team, musical ensemble, work of art, fictional character, software, sports club, horse, human, computer","competition, television series season, recurring sporting event, sports season, sports competition, fictional competition, annual music competition edition"
http://www.wikidata.org/entity/P10888,contains the statistical territorial entity,(list of) statistical territorial entities which are direct subdivisions of another statistical or administrative territorial entity,"statistical territorial entity, administrative division","neighborhood, statistical territorial entity"
http://www.wikidata.org/entity/P5460,grants,"confers degree, honor, award, prize, title, certificate or medal denoting achievement to a person or organization","head of state, organization, higher education institution, government","academic degree, award"
http://www.wikidata.org/entity/P2175,medical condition treated,"disease that this pharmaceutical drug, procedure, or therapy is used to treat","type of chemical entity, pharmaceutical product, medical device, medical specialty, medical procedure, clinical trial",health problem
http://www.wikidata.org/entity/P479,input device,input device used to interact with a software or a device,"video game console model, smart speaker, electronic machine, video game bundle, home video game console, video game series, smart device, product model, service on Internet, arcade video game machine, software, video game console",input device
http://www.wikidata.org/entity/P3148,repeals,this document or act repeals that other document or act,"legal act, erratum, amendment, rule, Request for Comments, addendum","Request for Comments, addendum, legal act, amendment, erratum"
http://www.wikidata.org/entity/P2061,aspect ratio (W:H),"image width to height ratio of films, photographs, and other images","audiovisual work, image, image sensor, photographic film","aspect ratio, width to height aspect ratio"
http://www.wikidata.org/entity/P10809,following halt on service,(qualifier) halt immediately following this one at which the service stops,public transport stop,public transport stop
http://www.wikidata.org/entity/P10808,preceding halt on service,(qualifier) halt prior to this one at which the service stops,public transport stop,public transport stop
http://www.wikidata.org/entity/P10408,created during,media file created during a specific event or occurrence (for use on Wikimedia Commons),,occurrence
http://www.wikidata.org/entity/P2012,cuisine,type of food served by a restaurant or restaurant chain or national food culture,"restaurant district, human food, restaurant chain, supermarket chain, restaurant, condiment, grocery store, dish",cuisine
http://www.wikidata.org/entity/P1322,dual to,"dual of a polytope, graph or curve","vector space, planar graph, polytope, curve","vector space, curve, planar graph, polytope"
http://www.wikidata.org/entity/P2935,connector,connectors which the device has/supports,"virtual reality headset model, graphics card model, smartphone model, interface standard, electrical appliance, consumer electronics, camera lens, camera, computer","lens mount, electrical connector, optical fiber connector"
http://www.wikidata.org/entity/P10374,computational complexity,"the most specific complexity class this computational problem has been proved to belong to; if available, provide the tight complexity, otherwise both hardness and membership can be specified",computational problem,complexity class
http://www.wikidata.org/entity/P11387,image processor,digital camera image processor,camera,image processor
http://www.wikidata.org/entity/P523,temporal range start,the start of a process or appearance of a life form or geological unit relative to the geologic time scale,,geochronological unit
http://www.wikidata.org/entity/P10788,in operation on service,service that a vehicle is operating on,,transport route
http://www.wikidata.org/entity/P10818,last entry,"time after which an establishment or attraction no longer admits entry, qualifier for P3025 (for closing time, use P8627)",,time of day
http://www.wikidata.org/entity/P10607,athletics program,"the name of a school's athletics program, as opposed to individual teams in particular sports",educational organization,"university and college sports club, high school athletics program"
http://www.wikidata.org/entity/P5304,type locality (biology),"geographical place of capture, collection or observation of the name-bearing type",taxon,"geographic location, stratigraphic unit"
http://www.wikidata.org/entity/P910,topic's main category,main Wikimedia category,,Wikimedia category
http://www.wikidata.org/entity/P1754,category related to list,Wikimedia category that matches the Wikimedia list,"Wikimedia information list, Wikimedia list article, bibliography, timeline, discography",Wikimedia category
http://www.wikidata.org/entity/P1657,MPA film rating,US film classification administered by the Motion Picture Association of America,film,MPA classification category
http://www.wikidata.org/entity/P2241,reason for deprecated rank,qualifier to indicate why a particular statement should have deprecated rank,,Wikibase reason for deprecated rank
http://www.wikidata.org/entity/P2937,parliamentary term,term of a parliament or any deliberative assembly,"proposed legislation, parliamentary group, bill, legislation, human","legislative session, legislative term"
http://www.wikidata.org/entity/P11106,alphabetical index,initial letter or character of entries found at pages starting with qualifier value in this book with alphabetically ordered entries. Use applicable qualifier such as P304.,"version, edition or translation",grapheme
http://www.wikidata.org/entity/P1299,depicted by,"object depicting this subject (object being creative works such as books, films, paintings)",,"work, caricature, performing artist, artistic theme, artwork series"
http://www.wikidata.org/entity/P11053,grammatical person,"grammatical person category (first, second, third, etc.) of pronouns",,grammatical person
http://www.wikidata.org/entity/P803,professorship,professorship position held by this academic person,human,"academic rank, chair, professorship"
http://www.wikidata.org/entity/P189,location of discovery,where the item was located when discovered,,"fictional location, geographic entity, physical location"
http://www.wikidata.org/entity/P5023,activity policy in this place,"policy for activities in this place, for example no photos, photos allowed, no flash, lighting fires, flying drones, etc.","museum network, physical location, transport route",activity policy
http://www.wikidata.org/entity/P10836,inker,"comics artist responsible for outlining, interpreting, finalizing, and retracing a drawing by using a pencil, pen or a brush",comics,"group of humans, human, organization"
http://www.wikidata.org/entity/P10588,academic calendar type,academic calendar system used by an educational institution,educational organization,unit of time
http://www.wikidata.org/entity/P10754,distributed from,place or location where a good or service is distributed from,,geographic location
http://www.wikidata.org/entity/P10645,reports to,the subject position reports to this position,position,position
http://www.wikidata.org/entity/P11385,camera lens,"camera lens item used by the photo or video camera; or in a photo item, the lens used to take it","video work, photograph, camera",objective
http://www.wikidata.org/entity/P11491,member of Roman tribe,Roman tribe in which one was inscribed,"prosopographical phantom, human whose existence is disputed, legendary figure, mythical character, fictional character, human",tribus
http://www.wikidata.org/entity/P1611,NATO code for grade,NATO Code for Grades of Military Personnel,military rank,NATO code for grade
http://www.wikidata.org/entity/P10254,associated cadastral district,cadastral district in which a place is located or is part of. Use only if distinct from administrative entities (P131) in predefined countries,,"urban commune of Morocco, prefecture of Morocco, cadastral municipality of Austria, cadastral area in the Czech Republic, arrondissement of Morocco, douar in Morocco"
http://www.wikidata.org/entity/P10729,finisher,finishing move used by an athlete in professional wrestling,human,finisher
http://www.wikidata.org/entity/P488,chairperson,"presiding member of an organization, group or body","religious administrative entity, inquiry, fictional organization, event, professional association, administrative division, voluntary association, organization","human, fictional character"
http://www.wikidata.org/entity/P542,officially opened by,person that officially opened the event or place,"installation artwork, business, geographic location, sculpture, event, fixed construction, exhibition, infrastructure, system, museum",human
http://www.wikidata.org/entity/P1652,referee,referee or umpire of a match,"sporting event, sports competition",human
http://www.wikidata.org/entity/P1750,name day,"day of the year associated with a first/given name. A qualifier should be used to identify the calendar that is being used. Distinguish from ""feast day"" (P:P841)","given name, human",point in time with respect to recurrent timeframe
http://www.wikidata.org/entity/P500,exclave of,territory is legally or politically attached to a main territory with which it is not physically contiguous because of surrounding alien territory. It may also be an enclave.,exclave,human-geographic territorial entity
http://www.wikidata.org/entity/P1142,political ideology,political ideology of an organization or person or of a work (such as a newspaper),,"philosophy, political party, social movement, doctrine, political ideology, political organization, religious fundamentalism, creative work, newspaper genre, fictional political faction, ethical theory"
http://www.wikidata.org/entity/P5202,adapted by,person responsible for the arrangement or adaptation resulting in this version of the original work,work,"human, group of humans"
http://www.wikidata.org/entity/P108,employer,person or organization for which the subject works or worked,"fictional location, group of humans, fictional human, fictional character, human","human, television program, palace, newspaper, website, organization, administrative division, parish, military base, fictional character, anthology, government agency, periodical, airport, mine, company, radio channel, radio program, structure of worship, educational institution, fictional location, cultural institution, television channel, governing body, legendary figure, facility, fictional company, campaign, duo, theatre company, association, group of humans, manufacturer, fictional organization, fictional human, podcast"
http://www.wikidata.org/entity/P10129,protective marking,"label applied to an intellectual work to indicate how the document should be handled, particularly from a security or privacy perspective",intellectual work,information classification
http://www.wikidata.org/entity/P10594,taxonomic treatment,subject has object as taxon treatment,taxon,taxonomic treatment
http://www.wikidata.org/entity/P185,doctoral student,doctoral student(s) of a professor,,"fictional human, human"
http://www.wikidata.org/entity/P3028,open period to,qualifier to P3025 (open days) for season when open days apply,,point in time with respect to recurrent timeframe
http://www.wikidata.org/entity/P1625,has melody,this work has the melody of the following work,work,"opera, rock and roll, rock music, boogie-woogie, cycle, arrangement, Christian hymn, ballet, musical work/composition"
http://www.wikidata.org/entity/P483,recorded at studio or venue,studio or location where a musical composition/release was recorded,"release group, podcast episode, musical performance, podcast, audio track, musical work","house, university, school, church building, radio station, library, urban park, park, palace, theatre, coffeehouse, building, prison, museum, festival, amusement park, concert, lecture hall, fair, residence, laboratory, stadium, arena, radio program, recording studio, music festival, performing arts center, sound stage, venue, music venue, event venue, music festival edition"
http://www.wikidata.org/entity/P5475,CJKV variant character,equivalent forms of Han characters used in different regions or writing systems,Chinese character,Chinese character
http://www.wikidata.org/entity/P5824,is retracted by,(article) is retracted by (retraction notice),scientific publication,retraction notice
http://www.wikidata.org/entity/P10067,train melody,music that tells you that a train is leaving or arriving at a train station,railway station,musical work/composition
http://www.wikidata.org/entity/P10601,co-applicant,"co-applicant to a grant, program, or other funding agency",research proposal,person or organization
http://www.wikidata.org/entity/P9977,isotopically modified form of,given molecular entity is a form with natural isotopic composition,"isotopically modified ion, isotopic compound",type of chemical entity
http://www.wikidata.org/entity/P10150,iTunes genre,genre of media on media platform iTunes,,iTunes genre
http://www.wikidata.org/entity/P10714,WikiProject importance scale rating,rating of an article on a WikiProject's importance scale,,Wikimedia article badge
http://www.wikidata.org/entity/P10994,KFCB classification (Kenya),rating in the film classification system of Kenya,"music video, film",Kenya Film Classification Board  category
http://www.wikidata.org/entity/P11197,build system,build system used by a software during its development,software,build system
http://www.wikidata.org/entity/P11356,grading system,value indicators used by educators to evaluate the performance of the pupils in exams on the standard particular scales which is based on the points entirely and consist of the grades like A-F or range like 1-10,"test, class",academic grading system
http://www.wikidata.org/entity/P3448,stepparent,subject has the object as their stepparent,"character that may or may not be fictional, fictional character, human","human, fictional character, character that may or may not be fictional"
http://www.wikidata.org/entity/P3460,colonel-in-chief,ceremonial position in a military regiment,,human
http://www.wikidata.org/entity/P6237,real estate developer,person or organization responsible for building this item,architectural structure,"human, organization"
http://www.wikidata.org/entity/P6819,calligrapher,calligrapher of a work,"individual copy of a book, calligraphic work, version, edition or translation, work, manuscript, kanji, Chinese characters","human, fictional character, person, calligrapher, group of humans, character that may or may not be fictional"
http://www.wikidata.org/entity/P11463,travel advisory category,advisory category issued by a government regarding travel to another country or territory,"administrative region, country",travel advisory category
http://www.wikidata.org/entity/P2184,history of topic,"item about the historical development of a subject's topic, example: ""history of Argentina"" for ""Argentina"". To list key events of the topic, use ""significant event"" (P793)",,"history, chronology, timeline, aspect of history, historical period"
http://www.wikidata.org/entity/P1313,office held by head of government,political office that is fulfilled by the head of the government of this item,"fictional location, designation for an administrative territorial entity, council, cabinet, administrative division, government","position, fictional office, position, or title, historical position"
http://www.wikidata.org/entity/P11811,beforehand owned by,"person or institution that owned the subject just before stated event. Meant to be used as qualifier of ""significant event (P793)"" for events like sales, auctions, gifts, etc",,"human, organization, population group"
http://www.wikidata.org/entity/P11812,afterward owned by,"person or institution that owned the subject after stated event. Meant to be used as qualifier of ""significant event (P793)"" for events like sales, auctions, gifts, etc",,"human, organization"
http://www.wikidata.org/entity/P11849,first performance by,performer or performing group for the first performance of a work,"choreographic work, dramatic work, theatrical work, musical work/composition, literary work, composed musical work","human, musical group, group of humans, theatrical troupe, ballet company, musical ensemble, opera company, theatre company"
http://www.wikidata.org/entity/P6872,has written for,publication an author has contributed to,"fictional character, human","encyclopedia, book, website, news agency, publication, periodical, serial, broadcasting program, fictive serial publication"
http://www.wikidata.org/entity/P3075,official religion,official religion in this administrative entity,administrative division,religion or world view
http://www.wikidata.org/entity/P119,place of burial,"location of grave, resting place, place of ash-scattering, etc. (e.g., town/city or cemetery) for a person or animal. There may be several places: e.g., re-burials, parts of body buried separately.","individual animal, character that may or may not be fictional, human head, group of humans, captive mammal, domesticated animal, bog body, humanoid, fictional character, brown bear, human","country, sarcophagus, geographic region, cemetery, unmarked grave, geographical feature, burial at sea, fictional location, historical country, funerary structure, cemetery, burial plot, or tomb"
http://www.wikidata.org/entity/P12050,demo of,video game or software that this trial version is based on,"video game, software","software, video game"
http://www.wikidata.org/entity/P5277,grade of kanji,degree of difficulty of kanji,kanji character,grade of kanji
http://www.wikidata.org/entity/P5307,display technology,technology used by the display of this device,"electronic machine, appliance",display technology
http://www.wikidata.org/entity/P5817,state of use,"to indicate state of use of a building, monument, etc. It is not related with its heritage protection (P1435), but to its present state of use. Ex.: abandoned, in use, temporarily closed, etc.","service, structure, product model, facility, transport network, geographical feature, vehicle, public service",use status
http://www.wikidata.org/entity/P7163,typically sells,type of goods particular type of shops typically sell,"kuramoto, shopkeeper, fictional company, trader, retail chain, shop, fair, marketplace, online music store","goods, collectible, product"
http://www.wikidata.org/entity/P149,architectural style,architectural style of a structure,"group of structures or buildings, fictional architectural structure, historic district, architectural ensemble, architectural structure, architectural element","architectural style, art style"
http://www.wikidata.org/entity/P6948,video system,video system hardware that the item uses,"fictional video game, PlayStation Theme, arcade video game machine, computer program, video game, software, disk magazine","web browser, computing platform, fictional video game console"
http://www.wikidata.org/entity/P6884,target muscle,muscle that is targeted in a physical exercise,physical exercise,muscle
http://www.wikidata.org/entity/P106,occupation,"occupation of a person; see also ""field of work"" (Property:P101), ""position held"" (Property:P39)","individual animal, individual organism, character that may or may not be fictional, group of fictional characters, group of humans, professional name, working animal, person, fictional character, robot, human","profession, Amtsbezeichnung, job, occupation, position, fictional profession, fictional religious occupation, fictional analog of an occupation, Christian religious occupation, Catholic vocation"
http://www.wikidata.org/entity/P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity.,,"state, administrative division, military base, city or town, fictional administrative territorial entity, designation for an administrative territorial entity, fictional county"
http://www.wikidata.org/entity/P6379,has works in the collection,collection that has works of this person or organisation (use archives at [P485] for archives),"group of humans, human","museum, exhibition, archive, collection, fusion museum, arts venue, museum network"
http://www.wikidata.org/entity/P852,ESRB rating,North American video game content rating,"video game trailer, group of video games often treated as a singular game, video game compilation, mobile app, video game",ESRB rating category
http://www.wikidata.org/entity/P915,filming location,"actual place where this scene/film was shot. For the setting, use ""narrative location"" (P840)","video artwork, YouTube channel, livestreamed video, video recording, television series, radio program, audiovisual work, video album, episode, fictional location, television series season, podcast, film series, television program, video game, film","ship, lyceum, higher education institution, geographic region, neighborhood, infrastructure, geographical feature, film set, event, mythical location, physical location, human-geographic territorial entity"
http://www.wikidata.org/entity/P12011,tribe,"recognised membership in a society, mainly denoted by shared cultural heritage; for ethnicity use P172","hypothetical person, human whose existence is disputed, legendary figure, group of humans, mythical character, fictional character, human","tribe, Adivasi, Seven Slavic tribes, Native American tribe, tabar, tribes of Israel, iwi, Tribes of Montenegro, Berber tribe, fictional tribe, First Nation, First Nation band, Polish tribes, Kabylian tribes, Pashtun tribe, Hazara tribes, Turkmen tribes"
http://www.wikidata.org/entity/P12041,type of musical notation,system of musical notation used on a given music source or composition,,musical notation
http://www.wikidata.org/entity/P3438,vehicle normally used,vehicle the subject normally uses,"transport route, transport infrastructure, fictional character, fictional creature, transport company, human","vehicle, organization, rolling stock class, vehicle model, fictional vehicle"
http://www.wikidata.org/entity/P7209,ordeal by,manner of judicial practice by which the guilt or innocence of the accused was determined,,trial by ordeal
http://www.wikidata.org/entity/P3842,located in the present-day administrative territorial entity,the item was located in the territory of this present-day administrative unit; however the two did not at any point coexist in time,administrative division,administrative division
http://www.wikidata.org/entity/P11814,funded by grant,title or name of the grant funding this item,,grant
http://www.wikidata.org/entity/P451,unmarried partner,"someone with whom the person is in a relationship without being married. Use ""spouse"" (P26) for married couples","human whose existence is disputed, mythical character, legendary figure, mythical creature, deity, doll, fictional character, animal, human","human, animal, fictional character, deity, mythical creature, mythical character, legendary figure, human whose existence is disputed, folklore character"
http://www.wikidata.org/entity/P767,contributor to the creative work or subject,person or organization that contributed to a subject: co-creator of a creative work or subject,"philosophical concept, item of collection or exhibition, academic discipline, artistic technique, discovery, fictional entity, series of creative works, discourse topic, version, edition or translation, artistic theme, collection, exhibition, work, laboratory, anthology, experiment, technology","human, organization, group of humans"
http://www.wikidata.org/entity/P1594,judge,"judge, magistrate or equivalent, presiding at a trial","trial, legal case, sentence, canton of France (until 2015)","human, judge, fictional character, supreme court"
http://www.wikidata.org/entity/P3931,copyright holder,person or organisation who holds the copyright of a work according to the Berne Convention,,"organization, natural person, juridical person, group of humans"
http://www.wikidata.org/entity/P6153,research site,place where this item was researched,,"organization, infrastructure, physical location"
http://www.wikidata.org/entity/P7047,enemy,opponent character or group of this fictive character or group,"character that may or may not be fictional, group of mythical characters, group of fictional characters, mythical character, fictional country, fictional character","fictional character, fictional country, mythical character, fictional organization, group of fictional characters, group of mythical characters, character that may or may not be fictional"
http://www.wikidata.org/entity/P12020,state of transmission,"state in which a work is transmitted or its existence; for the state of its material witnesses, use P5816",work,state of transmission
http://www.wikidata.org/entity/P12099,parent form of an active substance,parent form of a chemical entity (e.g. a salt) used as an active substance in pharmaceutical products,type of chemical entity,type of chemical entity
http://www.wikidata.org/entity/P4322,best sprinter classification,"person ranked as ""best sprinter"" for this cycling stage or race",,human
http://www.wikidata.org/entity/P7514,landscape architect,"person or architectural firm that designed this outdoor area, possibly including landmarks and structures","architectural structure, public space, neighborhood, green space","human, organization, group of humans"
http://www.wikidata.org/entity/P7604,supervised by,natural person who has the authority of giving instructions and/or orders to subordinates and is held responsible for the work and actions of subordinates,"version, edition or translation, fictional human, book series, television program, book, human","human, book, television program, book series, version, edition or translation, fictional human"
http://www.wikidata.org/entity/P8571,external auditor,"external company or person appointed to audit a business' or an organization's books, requirement for many companies","business, organization","human, organization"
http://www.wikidata.org/entity/P6275,copyright representative,person or organisation who represents the copyright for this person or work of art,"legal person, cultural institution","natural person, juridical person, copyright collective, cultural institution, copyright holding organisation, type of copyright management"
http://www.wikidata.org/entity/P12095,fonds,part of an archival collection which an item belongs to,,"collection, fonds"
http://www.wikidata.org/entity/P437,distribution format,method (or type) of distribution for the subject,"group of works, streaming channel, series of creative works, musical release, work, data, film","television program, smart card, film gauge, pamphlet, box set, airplay, audio file format, audio storage device, streaming media, digital distribution, media, microform, Digipak, film format, product bundling, printed matter, machine-readable medium, electronic media, audio podcast, physical media, printed book, online publication, archive file format, broadcasting, video on demand, pocket edition, file system object, digital download, book format, Flatpak, non-fungible token, comic format, optical disc packaging, product distribution method, e-book file format, physical media format, print book format, external memory expansion, audio release format"
http://www.wikidata.org/entity/P449,original broadcaster,network(s) or service(s) that originally broadcast a radio or television program,"event, work, news presenter","radio station, broadcast network, television channel, pay television, television network, Internet television, television station, broadcaster, video streaming service, fictional radio station, fictional television network"
http://www.wikidata.org/entity/P427,taxonomic type,name-bearing genus or species of this nominal family or genus (or subfamily or subgenus),taxon,"taxon, type"
http://www.wikidata.org/entity/P1606,natural reservoir of,pathogen of which this species is a long-term host,taxon,taxon
http://www.wikidata.org/entity/P6889,microarchitecture,processor microarchitecture,"CPU model, graphics processing unit model, coprocessor, processor, system on a chip",microarchitecture
http://www.wikidata.org/entity/P516,powered by,equipment or engine used by the subject to convert a source or energy into mechanical energy,"abstract entity, concrete object, physical object","engine, rocket engine, electric power source, propulsion, engine model, electric motor model"
http://www.wikidata.org/entity/P166,award received,"award or recognition received by a person, organization or creative work",,"medallion, literary award, competition, award, order, Roman triumph, hall of fame, military decoration, beauty contest, title of honor, horse race, recognition, position, order of chivalry, award ceremony, title of authority, science award, homage, fictional award, grade of an order, class of award"
http://www.wikidata.org/entity/P2058,depositary,depositary of the treaty,treaty,"organization, position"
http://www.wikidata.org/entity/P3716,social classification,social class as recognized in traditional or state law,"hypothetical person, character that may or may not be fictional, legendary figure, mythical character, lineage, stillborn child, fictional character, family, human","social status, social class, legal status"
http://www.wikidata.org/entity/P1398,structure replaces,"the item this building or structure replaced, at the same geographic location","artificial geographic entity, architectural structure, geographic region","geographic region, architectural structure, artificial geographic entity"
http://www.wikidata.org/entity/P7153,significant place,significant or notable places associated with the subject,,"geographical feature, fictional location"
http://www.wikidata.org/entity/P5051,towards,"qualifier for ""adjacent station"" (P197) to indicate the terminal station(s) of a transportation line or service in that direction",public transport stop,public transport stop
http://www.wikidata.org/entity/P3440,time signature,specification of beats in a musical bar or measure,"musical work, dance",time signature
http://www.wikidata.org/entity/P421,located in time zone,time zone for this item,"time zone named for a UTC offset, geographic entity, standard time, occurrence, daylight saving time",time zone
http://www.wikidata.org/entity/P6977,review of,this property connects a review to the work it reviews,"book review, article",work
http://www.wikidata.org/entity/P750,distributed by,distributor of a creative work; distributor for a record label; news agency; film distributor,"group of video games, modding website, digital distribution platform, publisher, musical release, work, record label, data","website, content delivery network, periodical, publisher, game item, agent, podcast, video game database, restaurant chain, digital distribution platform, software distributor, modding website, microtransaction store"
http://www.wikidata.org/entity/P6885,historical region,"geographic area which at some point in time had a cultural, ethnic, linguistic or political basis, regardless of present-day borders","human settlement, administrative division",historical region
http://www.wikidata.org/entity/P3919,contributed to creative work,"person is cited as contributing to some creative or published work or series (qualify with ""subject has role"", P2868)",human,"publication, catalogue, series of creative works, musical release, discovery, creative work, multivolume work"
http://www.wikidata.org/entity/P3816,film script,script version for subject film is described at,film,script
http://www.wikidata.org/entity/P8411,set in environment,"environment (geographic feature, building type, etc.) the narrative work is set in","group of works, work","space, game, vehicle, geographic region, landscape, landform, pinball machine game, level, fictional universe, arcade video game machine, horeca, fixed construction, geographic location, fictional location, mythical location, business, physical location, environment, physical structure, fictional vehicle, hypothetical scientific object"
http://www.wikidata.org/entity/P4428,implementation of,"implementation of a standard, program, specification or programming language",,"algorithm, programming language, function, computer program, technical standard, application programming interface, domain-specific language, rule, Wikimedia template, specification"
http://www.wikidata.org/entity/P7719,generalization of,"the subject statement in particular gives this object statement, or the truth of this object statement is implied by the truth of the subject statement","proposition, algorithm","algorithm, proposition"
http://www.wikidata.org/entity/P4552,mountain range,range or subrange to which the geographical item belongs,geographical feature,"mountain, mountain range, massif, escarpment, non-geologically related mountain range, mountain chain, hill group"
http://www.wikidata.org/entity/P6533,type of front suspension,"system of tires, tire air, springs, shock absorbers and linkages that connects a vehicle to its front wheels and allows relative motion between the two",vehicle,suspension
http://www.wikidata.org/entity/P6534,type of rear suspension,"system of tires, tire air, springs, shock absorbers and linkages that connects a vehicle to its rear wheels and allows relative motion between the two",vehicle,suspension
http://www.wikidata.org/entity/P457,foundational text,text through which an institution or object has been created or established,,"contract, document, treaty, legal act, statute, administrative act, conventional amendment, charter, decree, scholarly work"
http://www.wikidata.org/entity/P7162,cases consolidated,what other cases this case consolidated,legal case,legal case
http://www.wikidata.org/entity/P1571,codomain,codomain of a function,"morphism, mapping, binary relation, function","set, class, category"
http://www.wikidata.org/entity/P2702,dataset distribution,particular manner of distribution of a data set (database or file) that is publicly available,,data set
http://www.wikidata.org/entity/P6758,supported sports team,sports team for which a person or a group is a supporter,"mascot, cheerleading squad, supporters' group, fictional character, human","sports club, sports team"
http://www.wikidata.org/entity/P8131,dialect of computer language,computer language of which an item with this property is a dialect (a relatively small variation),"computer language, programming language","programming language, computer language"
http://www.wikidata.org/entity/P7078,typing discipline,"specifies the typing discipline implemented, used, or mandated in a programming language",programming language,type system
http://www.wikidata.org/entity/P5196,output device,output device used to interact with a software or video game console,"video game console, software",output device
http://www.wikidata.org/entity/P3709,category for value different from Wikidata,item for categories of pages with template parameter value different from Wikidata,,Wikimedia category
http://www.wikidata.org/entity/P3876,category for alumni of educational institution,category containing people who studied at this institution,"fictional educational institution, educational organization",Wikimedia category
http://www.wikidata.org/entity/P7084,related category,Wikimedia category is related to this item,,Wikimedia category
http://www.wikidata.org/entity/P8646,expansion of,"expansion pack of a game (video game, tabletop or board game)","tabletop role-playing game supplement, board game expansion, downloadable content, video game expansion pack","video game, board game, tabletop role-playing game"
http://www.wikidata.org/entity/P734,family name,part of full name of person,"Spanish noble family, sibling group, noble family, character that may or may not be fictional, fictional family, fictional sibling group, United States presidential pet, lineage, clan, person, fictional character, alter ego, family, human",family name
http://www.wikidata.org/entity/P3858,route diagram,Wikimedia route diagram template,"railway line, transport route, railway station","Wikimedia template, Wikimedia route diagram"
http://www.wikidata.org/entity/P1411,nominated for,"award nomination received by a person, organisation or creative work (inspired from ""award received"" (Property:P166))","individual animal, work, organization, human","literary award, award, hall of fame, film award, award ceremony, class of award, pornographic film award"
http://www.wikidata.org/entity/P2291,charted in,chart where the element reached a position,"musical duo, work, musical group, human","record chart, ranked list"
http://www.wikidata.org/entity/P7888,merged into,"the subject was dissolved and merged into the object, that existed previously","statistical territorial entity, country in a fiction work, event sequence, collection, human-geographic territorial entity, fictional organization, periodical, infrastructure, administrative division, website, organization","website, organization, administrative division, infrastructure, periodical, collection, statistical territorial entity, fictional organization, human-geographic territorial entity, event sequence, country in a fiction work"
http://www.wikidata.org/entity/P8701,has census,general population census of the country or region,demographics of country or region,census
http://www.wikidata.org/entity/P489,currency symbol description,item with description of currency symbol,"fictional currency, currency",currency sign
http://www.wikidata.org/entity/P1170,transmitted signal type,type of signal transmitted by a device,"product, spacecraft",signal
http://www.wikidata.org/entity/P1686,for work,qualifier of award received (P166) to specify the work that an award was given to the creator for,,"work, complete works, political initiative, lifetime achievement"
http://www.wikidata.org/entity/P6886,writing language,language in which the writer has written their work,"human whose existence is disputed, group of humans, group of authors, fictional character, pseudonym, human",languoid
http://www.wikidata.org/entity/P735,given name,first name or another given name of this person; values used with the property should not link disambiguations nor family names,"character that may or may not be fictional, individual animal, fictional entity, legendary figure, mythical creature, mascot character, person, personification, fictional character, alter ego, human fetus, pet, human",given name
