property,propertyLabel,propertyDescription,domains,ranges
http://www.wikidata.org/entity/P9215,set during recurring event,"recurring event (e.g. season, month, holiday) during which this fictional work is set","multiplayer map, level, work","day, month, eclipse, school holiday, time of day, planetary phase, point in time with respect to recurrent timeframe, recurring event, historical period, fictional holiday, fictional day"
http://www.wikidata.org/entity/P9567,intended background color,this transparent image is intended to be used in front of a background color,,color
http://www.wikidata.org/entity/P4099,metrically compatible typeface,"typeface metrically compatible with this typeface: glyph position, width and height match",typeface,typeface
http://www.wikidata.org/entity/P37,official language,language designated as official by this item,"fictional astronomical object, fictional organization, fictional country, output device, organization, administrative division","official language, languoid"
http://www.wikidata.org/entity/P1026,academic thesis,thesis or dissertation written for a degree,human,"doctoral thesis, bachelor's thesis, thesis, dissertation, master's thesis, licentiate thesis, bachelor's with honors thesis"
http://www.wikidata.org/entity/P3989,members have occupation,all members of this group share the occupation,"group of humans, group of fictional characters, fictional organization","profession, occupation, occupation group according to ISCO-08, fictional profession"
http://www.wikidata.org/entity/P4915,isocaudomer,"isocaudomer of the restriction restriction enzyme, which have the different recognition sequence but produces the same termini",restriction enzyme,restriction enzyme
http://www.wikidata.org/entity/P4968,relevant qualification,"practitioners of this industry get this degree, licence or certification after specialist education, apprenticeship, or professional review. This includes qualifications that one needs to obtain in order to join the industry or qualifications that one obtains after a certain level of experience in the industry in order to progress further in their career.",occupation,"academic degree, professional certification"
http://www.wikidata.org/entity/P1399,convicted of,crime a person was convicted of,"group of humans, fictional character, organization, human","crime, rebellion, delict, black magic, violation of law, insurgency, legal status, political activity, religious offense"
http://www.wikidata.org/entity/P1039,kinship to subject,"qualifier of ""relative"" (P1038) to indicate less usual family relationships (ancestor, son-in-law, adoptions, etc). Indicate how the qualificator item is related to the main item.",,"kinship, kin, nominal kinship"
http://www.wikidata.org/entity/P4147,conjugate acid,species formed by accepting a proton (H⁺),"structural class of chemical entities, group of isomeric entities, group of chemical entities, simple substance, ion, chemical compound","ion, chemical compound, simple substance, group of isomeric entities, group of chemical entities, structural class of chemical entities"
http://www.wikidata.org/entity/P4149,conjugate base,species formed by losing a proton (H⁺),"group of chemical entities, structural class of chemical entities, group of isomeric entities, simple substance, ion, chemical compound","ion, chemical compound, simple substance, group of isomeric entities, group of chemical entities, structural class of chemical entities"
http://www.wikidata.org/entity/P7479,key col,highest col connecting to an even higher point,,"body of water, mountain pass, col, saddle, gap"
http://www.wikidata.org/entity/P4082,captured with,"equipment (e.g. model of camera, lens microphone), used to capture this image, video, audio, or data","photograph series, audiovisual work, audio recording, photograph","camera, smartphone, recording medium, sound recording device, model series, optical instrument, space instrument, lens model, microphone model, cell phone model, camera model"
http://www.wikidata.org/entity/P2319,elector,people or other entities which are qualified to participate in the subject election,"position, public election",position
http://www.wikidata.org/entity/P2359,Roman nomen gentilicium,"standard part of the name of a Roman, link to items about the Roman gens only",,nomen
http://www.wikidata.org/entity/P2358,Roman praenomen,"standard part of the name of a Roman, link to items for specific Roman praenomen only",,praenomen
http://www.wikidata.org/entity/P9700,delta of,river that empties water and sediment into its delta,river delta,river
http://www.wikidata.org/entity/P92,main regulatory text,text setting the main rules by which the subject is regulated,,"statute, delegated legislation, regulation, sources of law, decree, legal instrument, service regulations, legal act, plan of management, committee directives"
http://www.wikidata.org/entity/P7309,climbing route,route used to get closer to a high point,landform,"thoroughfare, trail system"
http://www.wikidata.org/entity/P517,interaction,"subset of the four fundamental forces (strong (Q11415), electromagnetic (Q849919), weak (Q11418), and gravitation (Q11412) with which a particle interacts","type of quantum particle, particle",fundamental interaction
http://www.wikidata.org/entity/P81,connecting line,railway line(s) subject is directly connected to,"railway viaduct, S-Bahn route, aerial tramway station, railway border crossing, train ferry route, railway museum, railway incident, culvert, tram service, light rail line, industrial spur, operation point, railway overpass, rail infrastructure, transport accident, motive power depot, Route summit, transport route, public transport stop, train ride, monorail, viaduct, level crossing","railway line, aerial tramway, cable transport, itinerary, rail track"
http://www.wikidata.org/entity/P7377,infix,"component of Dutch family name or similar of other languages, generally an unaffixed prefix. Depending on the language, country and application, it may be ignored in sorting. Note differences in capitalization and affixation (spaces)",family name,"affix, Tussenvoegsel, prefix"
http://www.wikidata.org/entity/P9073,applicable 'stated in' value,"value suitable for ""stated in"" (P248) when property is used in references to refer to the primary publication/website/database associated with the property","Wikidata property related to classification schemes, Wikidata property for an identifier","database, website, information system, work, software repository, bibliographic database, correspondence, version, edition or translation, catalogue, online database"
http://www.wikidata.org/entity/P9660,not found in,"publication or database relevant to the topic that would generally include similar subjects, but in which the subject isn't described or attested. Use if there is no external-id property for the work.",,"alphabet, document, work"
http://www.wikidata.org/entity/P54,member of sports team,sports teams or clubs that the subject represents or represented,"mascot, group of humans, fictional human, mascot character, fictional character, human","sports club, clan, tag team, sports team, professional wrestling stable, fictional sports team, fictional sports club, department of a sports club"
http://www.wikidata.org/entity/P9030,solution to,a mathematical object that satisfies the criteria for a mathematical problem,mathematical object,"equation, mathematical problem"
http://www.wikidata.org/entity/P7501,audio system,audio system hardware used in the item,audiovisual work,integrated circuit
http://www.wikidata.org/entity/P5025,gens,a clan or group of families from Ancient Rome who shared the same nomen,,gens
http://www.wikidata.org/entity/P4006,overrules,case that supersedes another case,"legal case, court decision","court decision, legal case"
http://www.wikidata.org/entity/P9275,inverse agonist of,substance whose binding to a protein produces the opposite response as an agonist binding to that protein,,"protein, chemical compound, protein family"
http://www.wikidata.org/entity/P2354,has list,Wikimedia list related to this subject,,Wikimedia list article
http://www.wikidata.org/entity/P9059,subdivision of this unit,name of subdivision of this unit/currency,unit of measurement,"unit of measurement, monetary subunit"
http://www.wikidata.org/entity/P512,academic degree,academic degree that the person holds,"person, fictional character, human",academic degree
http://www.wikidata.org/entity/P9072,derived from organism type,the taxon that the organism from which the subject cell line was derived belonged to (different from found in taxon (P703) because cell lines are derived only once from a single individual),cell line,taxon
http://www.wikidata.org/entity/P1078,valvetrain configuration,configuration of the valvetrain utilized by this engine,reciprocating engine,poppet valve
http://www.wikidata.org/entity/P36,capital,"seat of government of a country, province, state or other type of administrative territorial entity","fictional administrative territorial entity, real country in a fiction work, fictional geographic region, municipal corporation in the United States, fictional planet, area, historical country, metropolitan area, fictional country, human settlement, geographic region, administrative division, island, nation","political territorial entity, fictional administrative territorial entity, capital city, administrative division, human settlement"
http://www.wikidata.org/entity/P1000,record held,"notable record achieved by a person or entity, include qualifiers for dates held",,record
http://www.wikidata.org/entity/P7486,grammatical aspect,"grammatical category that expresses how an action, event or state, denoted by a verb, relates to the flow of time: perfective, progressive, prospective, habitual, etc.",,grammatical aspect
http://www.wikidata.org/entity/P2302,property constraint,constraint applicable to a Wikidata property,Wikidata property,property constraint
http://www.wikidata.org/entity/P2563,superhuman feature or ability,"superhuman, supernatural, or paranormal abilities that the fictional subject exhibits","regeneration of The Doctor, supervillain, fictional group of characters, fictional species, group of mythical characters, fictional deity, fictional ethnic group, mythical character, deity, superhero, fictional character","superpower, aptitude, superhuman quality"
